"region","team","gp","shots","gs","ga","fouls","yc","rc"
"Africa","Algeria",3,31,0,2,51,4,2
"South America","Argentina",5,69,10,6,65,7,0
"Oceania","Australia",3,29,3,6,60,7,2
"South America","Brazil",5,71,9,4,77,7,2
"Africa","Cameroon",3,35,2,5,56,5,0
"South America","Chile",4,45,3,5,80,13,1
"Europe","Denmark",3,32,3,6,56,6,0
"Europe","England",4,49,3,5,52,6,0
"Europe","France",3,29,1,4,53,6,1
"Europe","Germany",6,66,13,3,64,8,1
"Africa","Ghana",5,75,5,4,91,11,0
"Europe","Greece",3,32,2,5,39,5,0
"Central America","Honduras",3,13,0,3,52,7,0
"Europe","Italy",3,36,4,5,44,5,0
"Africa","Ivory.Coast",3,39,4,3,55,5,0
"Asia","Japan",4,38,4,2,69,7,0
"North America","Mexico",4,43,4,5,83,9,0
"Europe","Netherlands",6,67,12,5,98,15,0
"Oceania","New.Zealand",3,15,2,2,60,6,0
"Africa","Nigeria",3,29,3,5,44,5,1
"Asia","North.Korea",3,32,1,12,27,2,0
"South America","Paraguay",5,49,3,2,95,9,0
"Europe","Portugal",4,50,7,1,60,8,1
"Europe","Serbia",3,38,2,3,30,8,1
"Europe","Slovakia",4,35,5,7,69,11,0
"Europe","Slovenia",3,17,3,3,46,9,0
"Africa","South.Africa",3,35,3,5,42,4,1
"Asia","South.Korea",4,44,6,8,57,6,0
"Europe","Spain",6,82,7,2,63,3,0
"Europe","Switzerland",3,21,1,1,55,8,1
"North America","USA",4,55,5,5,53,9,0
"South America","Uruguay",6,70,9,5,86,8,2
